epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
10,254.431,1.6065,2.05493,1.17643,0.78206,0.27612,0.51143,0.17566,1.89052,3.88571,1.28812,0.000538682,0.000538682,0.000538682
11,280.997,1.74648,1.98783,1.23303,0.87839,0.05,0.55056,0.20527,1.87432,3.80741,1.32607,0.000579164,0.000579164,0.000579164
12,306.413,1.62987,2.02514,1.23997,0.88864,0.05,0.495,0.18057,1.96042,3.83302,1.35784,0.000617007,0.000617007,0.000617007
13,332.618,1.71739,1.93787,1.24116,0.86481,0.05,0.38962,0.14806,1.97697,3.91317,1.35675,0.00065221,0.00065221,0.00065221
14,357.172,1.58917,1.86952,1.17835,0.92469,0.10661,0.49175,0.19605,2.06454,3.64508,1.45617,0.000684774,0.000684774,0.000684774
15,383.318,1.54729,1.894,1.15833,0.6,0.06265,0.51807,0.19972,2.02781,3.46472,1.47373,0.000714697,0.000714697,0.000714697
16,409.659,1.52896,1.65019,1.16135,0.74506,0.26517,0.58688,0.21589,1.9295,3.44485,1.35572,0.000741981,0.000741981,0.000741981
17,436.552,1.56735,1.67383,1.17031,0.6972,0.35581,0.62525,0.24553,1.94389,3.29192,1.36026,0.000759035,0.000759035,0.000759035
18,461.428,1.4353,2.0231,1.1344,0.50101,0.45871,0.55625,0.22143,2.05349,2.88959,1.46479,0.000737037,0.000737037,0.000737037
19,485.893,1.35023,1.66012,1.11719,0.55381,0.53606,0.5709,0.21703,2.0925,2.824,1.48709,0.00071504,0.00071504,0.00071504
20,510.729,1.47371,1.46741,1.14386,0.53425,0.54593,0.57554,0.22852,2.07078,2.88789,1.5186,0.000693042,0.000693042,0.000693042
21,535.169,1.35499,1.65167,1.12963,0.52486,0.58238,0.59015,0.23168,2.00742,2.73834,1.4895,0.000671044,0.000671044,0.000671044
22,561.154,1.36213,1.51356,1.14324,0.55818,0.62382,0.68394,0.27319,1.97865,2.58322,1.44854,0.000649046,0.000649046,0.000649046
23,587.035,1.18039,2.42889,0.9708,0.66907,0.67944,0.73281,0.27167,1.9938,2.5176,1.43533,0.000627048,0.000627048,0.000627048
24,613.035,1.48752,1.53553,1.22513,0.52896,0.68636,0.70003,0.2777,1.95302,2.59029,1.42378,0.000605051,0.000605051,0.000605051
25,637.485,1.35325,1.45325,1.11373,0.55223,0.7346,0.70225,0.27737,1.97799,2.48724,1.43396,0.000583053,0.000583053,0.000583053
26,662.508,1.32064,1.38734,1.1411,0.62519,0.74274,0.72807,0.28864,2.0128,2.14503,1.43648,0.000561055,0.000561055,0.000561055
27,687.155,1.3151,1.22696,1.08343,0.75417,0.69118,0.77212,0.33112,1.98465,2.06007,1.44508,0.000539057,0.000539057,0.000539057
28,713.832,1.35817,1.26884,1.059,0.81966,0.73777,0.76347,0.3007,1.96774,2.12362,1.44701,0.000517059,0.000517059,0.000517059
29,740.54,1.50956,1.31908,1.11869,0.75984,0.74791,0.74725,0.31365,1.96831,2.16208,1.43916,0.000495062,0.000495062,0.000495062
30,765.69,1.37092,1.28822,1.13715,0.72537,0.74368,0.75109,0.30057,2.02128,2.09487,1.4956,0.000473064,0.000473064,0.000473064
31,790.825,1.46526,1.17497,1.16556,0.7632,0.72306,0.77697,0.298,1.99913,2.01794,1.50238,0.000451066,0.000451066,0.000451066
32,815.632,1.44389,1.18403,1.07199,0.83445,0.65901,0.75081,0.28224,1.9416,1.87309,1.49853,0.000429068,0.000429068,0.000429068
33,839.971,1.37718,1.22308,1.11273,0.81748,0.68923,0.74363,0.28254,1.96306,1.91338,1.49784,0.00040707,0.00040707,0.00040707
34,866.788,1.31735,1.23992,1.05169,0.79076,0.67946,0.73204,0.27871,2.01171,1.96053,1.52034,0.000385073,0.000385073,0.000385073
35,892.366,1.34722,1.59141,1.05994,0.7797,0.66365,0.71029,0.27903,2.02689,1.93432,1.50876,0.000363075,0.000363075,0.000363075
36,917.93,1.33774,1.21617,1.10888,0.77697,0.66368,0.70585,0.28469,2.09824,1.86785,1.54513,0.000341077,0.000341077,0.000341077
37,943.225,1.3255,1.19088,1.06559,0.81445,0.68266,0.7208,0.29237,2.10169,1.87681,1.54804,0.000319079,0.000319079,0.000319079
38,970.357,1.40489,1.33566,1.16024,0.82122,0.65368,0.69638,0.27593,2.06795,1.90862,1.54068,0.000297081,0.000297081,0.000297081
39,996.927,1.28365,1.1944,1.0299,0.82698,0.64697,0.68923,0.27825,2.04632,1.92826,1.52917,0.000275084,0.000275084,0.000275084
40,1021.77,1.27421,1.14617,1.04228,0.82805,0.62837,0.67862,0.26398,2.05267,1.97643,1.525,0.000253086,0.000253086,0.000253086
41,1046.02,1.47162,1.2774,1.16165,0.84468,0.62764,0.67999,0.26793,2.08209,1.99777,1.55477,0.000231088,0.000231088,0.000231088
42,1070.01,1.45183,2.15248,1.22311,0.72871,0.60976,0.61111,0.26263,2.11207,2.0376,1.58236,0.00020909,0.00020909,0.00020909
43,1094.38,1.28807,1.26437,1.0627,0.73361,0.61874,0.60051,0.24369,2.1138,2.0667,1.56812,0.000187092,0.000187092,0.000187092
44,1117.98,1.12966,1.21732,1.0387,0.69342,0.68784,0.62997,0.23823,2.12846,2.05084,1.61365,0.000165095,0.000165095,0.000165095
45,1141.88,1.10646,1.32652,1.02385,0.64103,0.65371,0.63743,0.23689,2.09132,2.07247,1.61771,0.000143097,0.000143097,0.000143097
46,1166.16,1.19702,1.31914,1.02469,0.66488,0.60615,0.62231,0.24212,2.06615,2.03067,1.60601,0.000121099,0.000121099,0.000121099
47,1190.23,1.23791,1.57501,1.05813,0.63701,0.63643,0.62096,0.24111,2.072,2.01232,1.61138,9.91012e-05,9.91012e-05,9.91012e-05
48,1214.85,1.13733,1.12712,1.02951,0.66038,0.61139,0.58757,0.23514,2.10032,1.98569,1.64684,7.71034e-05,7.71034e-05,7.71034e-05
49,1241.4,1.12336,1.5176,1.01386,0.65231,0.60751,0.5804,0.23112,2.1003,1.97986,1.64557,5.51056e-05,5.51056e-05,5.51056e-05
50,1265.56,1.13688,1.31337,1.09252,0.64681,0.61103,0.57411,0.22402,2.12616,1.96341,1.65051,3.31078e-05,3.31078e-05,3.31078e-05
1,1887.92,1.77201,2.86719,1.52223,0.78213,0.62763,0.70826,0.44368,1.33569,1.65942,1.22335,0.00027564,0.00027564,0.00027564
2,3129.37,1.5561,1.86167,1.35374,0.83408,0.68571,0.77535,0.51985,1.26884,1.36753,1.15527,0.000542351,0.000542351,0.000542351
3,4123.33,1.52333,1.68346,1.33266,0.83015,0.70287,0.78139,0.52618,1.22582,1.32204,1.15582,0.000798067,0.000798067,0.000798067
4,5096.45,1.49306,1.57024,1.31272,0.89444,0.72137,0.81629,0.54401,1.22957,1.1885,1.13606,0.00078352,0.00078352,0.00078352
5,6121.39,1.48342,1.50604,1.30934,0.91315,0.70658,0.81837,0.56772,1.17841,1.0758,1.10648,0.000767026,0.000767026,0.000767026
6,6928.87,1.43119,1.40959,1.26385,0.92761,0.74253,0.83888,0.59859,1.12112,1.02186,1.08665,0.000750533,0.000750533,0.000750533
7,7794.53,1.41081,1.35851,1.24921,0.89445,0.73529,0.82838,0.5922,1.11578,1.01957,1.08834,0.00073404,0.00073404,0.00073404
8,8647.71,1.37071,1.30107,1.23866,0.96043,0.72137,0.84169,0.60454,1.09199,0.94533,1.07736,0.000717546,0.000717546,0.000717546
9,9544.09,1.37229,1.28962,1.23395,0.94394,0.74717,0.85062,0.63579,1.04252,0.89864,1.04159,0.000701053,0.000701053,0.000701053
10,10479.4,1.35008,1.25182,1.22557,0.92739,0.75541,0.85699,0.63495,1.04191,0.89964,1.06254,0.000684559,0.000684559,0.000684559
11,11501.3,1.33354,1.23751,1.22079,0.93589,0.74919,0.84688,0.62556,1.05253,0.87428,1.06274,0.000668066,0.000668066,0.000668066
12,14154,1.29518,1.16223,1.18504,0.93357,0.77762,0.86639,0.64524,1.03382,0.84667,1.04722,0.000651573,0.000651573,0.000651573
13,19410.4,1.30111,1.15734,1.18159,0.8813,0.72974,0.82335,0.60398,1.07047,0.93453,1.06216,0.000635079,0.000635079,0.000635079
14,21710.7,1.27951,1.15168,1.18278,0.9286,0.76175,0.8577,0.64625,1.00826,0.83958,1.03013,0.000618586,0.000618586,0.000618586
15,23221.3,1.23183,1.09256,1.16319,0.94226,0.7712,0.86645,0.66171,0.98626,0.8118,1.01711,0.000602092,0.000602092,0.000602092
16,23985.6,1.24408,1.08369,1.16537,0.95464,0.75761,0.86396,0.65074,1.01113,0.80802,1.03751,0.000585599,0.000585599,0.000585599
17,25459.4,1.23641,1.09256,1.15803,0.94472,0.77472,0.86928,0.67114,0.95889,0.77937,1.01445,0.000569106,0.000569106,0.000569106
18,26478.9,1.22971,1.06961,1.16507,0.96461,0.75384,0.86404,0.66954,0.95285,0.77917,1.01337,0.000552612,0.000552612,0.000552612
19,27745.4,1.22055,1.0573,1.15245,0.93815,0.7753,0.87076,0.67631,0.94322,0.76638,0.9987,0.000536119,0.000536119,0.000536119
20,30067.2,1.21634,1.0506,1.14625,0.94849,0.76341,0.8646,0.67058,0.95037,0.79244,1.01366,0.000519625,0.000519625,0.000519625
21,32637.5,1.206,1.02603,1.13933,0.95216,0.76312,0.86803,0.67955,0.94218,0.77474,1.00385,0.000503132,0.000503132,0.000503132
22,61494.5,1.17729,1.00612,1.13359,0.94863,0.76979,0.87778,0.69247,0.91106,0.74228,0.99821,0.000486639,0.000486639,0.000486639
23,64586.4,1.17852,1.00957,1.12672,0.94554,0.76014,0.86331,0.6718,0.93033,0.77816,1.00496,0.000470145,0.000470145,0.000470145
24,65542.7,1.17594,0.99817,1.13182,0.93859,0.78545,0.87326,0.68549,0.91797,0.76251,0.98883,0.000453652,0.000453652,0.000453652
25,66366.4,1.16994,1.00103,1.12462,0.95104,0.7753,0.87448,0.68795,0.93503,0.75726,1.00007,0.000437158,0.000437158,0.000437158
26,67199.8,1.18241,0.99391,1.12364,0.93736,0.78545,0.8729,0.68626,0.91516,0.74297,0.99832,0.000420665,0.000420665,0.000420665
27,67967.2,1.15236,0.97312,1.11447,0.94083,0.78255,0.8699,0.68396,0.92634,0.74388,0.99644,0.000404172,0.000404172,0.000404172
28,68745.5,1.13855,0.96667,1.11277,0.95008,0.78918,0.878,0.70096,0.89742,0.72445,0.98897,0.000387678,0.000387678,0.000387678
29,73087,1.13808,0.9554,1.10595,0.96003,0.76341,0.87637,0.70423,0.88591,0.71385,0.98094,0.000371185,0.000371185,0.000371185
30,73766.6,1.14753,0.94557,1.11494,0.94298,0.79501,0.88417,0.7053,0.89095,0.71529,0.98293,0.000354691,0.000354691,0.000354691
31,74470.4,1.10636,0.91393,1.09355,0.94023,0.7924,0.8812,0.70165,0.9061,0.71611,0.98986,0.000338198,0.000338198,0.000338198
32,78825.8,1.08773,0.89424,1.08116,0.94669,0.79295,0.88416,0.70856,0.87403,0.70108,0.9748,0.000321705,0.000321705,0.000321705
33,79519.9,1.10054,0.90121,1.08919,0.94117,0.79779,0.88728,0.71587,0.87602,0.68523,0.97506,0.000305211,0.000305211,0.000305211
34,81866.5,1.08984,0.88991,1.07947,0.94914,0.79545,0.88828,0.7168,0.86362,0.68281,0.97125,0.000288718,0.000288718,0.000288718
